year,day,hour,avg
2012,41,22,965.2138889
2012,41,23,965.6072222
2012,42,0,968.2594118
2012,42,1,968.0829412
2012,42,2,967.3135294
2012,42,3,964.4266667
2012,42,4,964.26
2012,42,5,967.2594118
2012,42,6,967.9064706
2012,42,7,968.7941176
2012,42,8,968.6176471
2012,42,9,965.5566667
2012,42,10,965.0566667
2012,42,11,964.2138889
2012,42,12,963.4866667
2012,42,13,961.9266667
2012,42,14,960.8061111
2012,42,15,960.0188889
2012,42,16,959.7966667
2012,42,17,960.63
2012,42,18,962.0188889
2012,42,19,962.9727778
2012,42,20,963.8105556
2012,42,21,967.1417647
2012,42,22,965.2138889
2012,42,23,965.6027778
2012,43,0,968.0829412
2012,43,1,967.7888235
2012,43,2,967.4311765
2012,43,3,964.26
2012,43,4,964.0333333
2012,43,5,966.9017647
2012,43,6,967.7888235
2012,43,7,968.5588235
2012,43,8,968.5588235
2012,43,9,965.8388889
2012,43,10,965.1722222
2012,43,11,964.3855556
2012,43,12,963.4316667
2012,43,13,961.9222222
2012,43,14,960.6394444
2012,43,15,958.7258824
2012,43,16,958.6670588
2012,43,17,960.9611765
2012,43,18,962.6770588
2012,43,19,963.6182353
2012,43,20,964.4517647
2012,43,21,965.1088235
2012,43,22,965.5152941
2012,43,23,966.1088235
2012,44,0,968.838125
2012,44,1,968.713125
2012,44,2,965.3976471
2012,44,3,964.9811765
2012,44,4,965.1035294
2012,44,5,968.400625
2012,44,6,966.3494118
2012,44,7,969.2694118
2012,44,8,966.2833333
2012,44,9,965.7277778
2012,44,10,965.3944444
2012,44,11,964.6122222
2012,44,12,963.6583333
2012,44,13,962.5977778
2012,44,14,961.7947059
2012,44,15,960.9123529
2012,44,16,960.7894118
2012,44,17,961.0835294
2012,44,18,963.0888235
2012,44,19,964.2164706
2012,44,20,964.3761111
2012,44,21,965.0472222
2012,44,22,965.4361111
2012,44,23,965.6583333
2012,45,0,968.1417647
2012,45,1,968.650625
2012,45,2,965.4617647
2012,45,3,965.4029412
2012,45,4,965.1576471
2012,45,5,968.208125
2012,45,6,964.990625
2012,45,7,968.9705882
2012,45,8,965.95
2012,45,9,965.3944444
2012,45,10,964.9966667
2012,45,11,964.0522222
2012,45,12,962.9822222
2012,45,13,961.7358824
2012,45,14,960.5494118
2012,45,15,960.073125
2012,45,16,960.01625
2012,45,17,960.4858824
2012,45,18,961.9023529
2012,45,19,962.4317647
2012,45,20,963.2652941
2012,45,21,964.0347059
2012,45,22,967.333125
2012,45,23,967.520625
2012,46,0,967.520625
2012,46,1,966.49
2012,46,2,966.2494118
2012,46,3,966.1317647
2012,46,4,963.5327778
2012,46,5,966.3135294
2012,46,6,966.7841176
2012,46,7,967.3723529
2012,46,8,964.4822222
2012,46,9,963.5422222
2012,46,10,962.9777778
2012,46,11,962.1444444
2012,46,12,961.4417647
2012,46,13,959.9633333
2012,46,14,958.565
2012,46,15,957.76
2012,46,16,957.4705882
2012,46,17,958.8235294
2012,46,18,960.3041176
2012,46,19,961.1276471
2012,46,20,962.0788235
2012,46,21,962.4317647
2012,46,22,962.8488235
2012,46,23,963.5005882
2012,47,0,966.265
2012,47,1,962.7455556
2012,47,2,962.2411111
2012,47,3,964.9505882
2012,47,4,962.5744444
2012,47,5,963.0283333
2012,47,6,964.2705882
2012,47,7,967.1958824
2012,47,8,964.5377778
2012,47,9,964.1583333
2012,47,10,963.6533333
2012,47,11,962.9866667
