year,day,hour,avg
2012,26,21,68.91
2012,26,22,70.41666667
2012,26,23,76.01416667
2012,27,0,81
2012,27,1,82.4
2012,27,2,81.5
2012,27,3,87.11111111
2012,27,4,82
2012,27,5,80.625
2012,27,6,80.6
2012,27,7,81.33333333
2012,27,8,82.77777778
2012,27,9,69.57142857
2012,27,10,54.03571429
2012,27,11,44.33357143
2012,27,12,37.73785714
2012,27,13,30.96153846
2012,27,14,29.11538462
2012,27,15,31.033
2012,27,16,31.083
2012,27,17,32.8475
2012,27,18,42.04166667
2012,27,19,55.05076923
2012,27,20,63.73785714
2012,27,21,64.82076923
2012,27,22,69.5
2012,27,23,73.42307692
2012,28,0,77.38461538
2012,28,1,79.233
2012,28,2,74.88888889
2012,28,3,75.77777778
2012,28,4,81.22222222
2012,28,5,83
2012,28,6,84
2012,28,7,82.33333333
2012,28,8,84.767
2012,28,9,68.845
2012,28,10,51.80928571
2012,28,11,43.19071429
2012,28,12,36.75
2012,28,13,33.42454545
2012,28,14,32.133
2012,28,15,23.66666667
2012,28,16,26.46333333
2012,28,17,29.16666667
2012,28,18,45.29166667
2012,28,19,60.81916667
2012,28,20,69.10714286
2012,28,21,70.94846154
2012,28,22,74.71769231
2012,28,23,77.34615385
2012,29,0,80.30769231
2012,29,1,83.02538462
2012,29,2,80.7
2012,29,3,82
2012,29,4,80.875
2012,29,5,75.8
2012,29,6,77.2
2012,29,7,78.6
2012,29,8,84.66666667
2012,29,9,72.29785714
2012,29,10,55.38071429
2012,29,11,46.51142857
2012,29,12,41.47384615
2012,29,13,36.65384615
2012,29,14,36.71769231
2012,29,15,35.39769231
2012,29,16,36.07692308
2012,29,17,38.10307692
2012,29,18,52.5
2012,29,19,64.39692308
2012,29,20,71.25
2012,29,21,71.84615385
2012,29,22,76.85923077
2012,29,23,80.46153846
2012,30,0,80.81818182
2012,30,1,78.5
2012,30,2,81.2
2012,30,3,81.33333333
2012,30,4,84
2012,30,5,84.375
2012,30,6,85.75
2012,30,7,90.375
2012,30,8,90.51545455
2012,30,9,76.61928571
2012,30,10,60.60714286
2012,30,11,51.16615385
2012,30,12,43.61928571
2012,30,13,35.53846154
2012,30,14,33.71769231
2012,30,15,35.85846154
2012,30,16,39.0275
2012,30,17,43.38461538
2012,30,18,56.56461538
2012,30,19,68.96153846
2012,30,20,76.35923077
2012,30,21,78.53846154
2012,30,22,80.75615385
2012,30,23,83.15384615
2012,31,0,83.51416667
2012,31,1,87.01416667
2012,31,2,86.3
